total_loss,style_loss,content_loss
7395.29833984375,7395.29833984375,0.0
7393.1005859375,7393.1005859375,2.3558872896956018e-07
2672.41015625,2667.913330078125,4.496748447418213
1996.370361328125,1990.2845458984375,6.085762977600098
1512.6375732421875,1504.0081787109375,8.629398345947266
1215.5859375,1205.1597900390625,10.426095962524414
930.458984375,917.1129150390625,13.34609603881836
745.4223022460938,729.3245849609375,16.097721099853516
634.2125854492188,617.1637573242188,17.04880142211914
566.3526611328125,546.7708740234375,19.58179473876953
478.2259216308594,458.3270263671875,19.89888572692871
420.3468017578125,400.5052490234375,19.84156608581543
388.7602844238281,367.2165832519531,21.543691635131836
330.5241394042969,309.80059814453125,20.723533630371094
305.72509765625,285.0677185058594,20.65737533569336
278.3697509765625,257.30560302734375,21.064132690429688
255.47438049316406,235.42398071289062,20.050397872924805
254.43531799316406,233.3329620361328,21.10235595703125
234.15017700195312,213.03131103515625,21.11886215209961
224.36090087890625,202.91444396972656,21.446453094482422
209.24862670898438,187.19923400878906,22.049386978149414
199.94985961914062,176.64910888671875,23.300756454467773
182.9552459716797,159.63694763183594,23.31829833984375
179.23739624023438,155.02627563476562,24.211116790771484
167.02520751953125,142.97445678710938,24.050745010375977
160.0196990966797,136.2752227783203,23.74447250366211
157.21029663085938,133.26622009277344,23.94407844543457
151.40341186523438,127.16539001464844,24.238014221191406
143.41326904296875,118.31472778320312,25.09854507446289
142.14663696289062,117.57830810546875,24.568334579467773
142.84783935546875,116.84520721435547,26.002635955810547
132.61048889160156,105.9329833984375,26.677499771118164
130.7987060546875,104.89822387695312,25.900480270385742
125.66717529296875,99.40176391601562,26.265409469604492
124.38490295410156,97.7951431274414,26.58975601196289
125.67210388183594,98.5953140258789,27.07678985595703
119.68267059326172,91.99122619628906,27.691444396972656
113.95671081542969,86.6850357055664,27.27167320251465
111.05467987060547,83.25399780273438,27.80068016052246
109.1138916015625,80.81582641601562,28.298067092895508
108.06231689453125,79.4063949584961,28.655925750732422
104.68132019042969,75.63368225097656,29.04764175415039
98.87179565429688,69.7843017578125,29.087495803833008
337.9024353027344,304.966552734375,32.935890197753906
260.9216613769531,232.6910400390625,28.23061752319336
142.9669647216797,113.1308822631836,29.836076736450195
126.10789489746094,95.20327758789062,30.904621124267578
112.89822387695312,82.27562713623047,30.62259292602539
105.67431640625,74.96229553222656,30.712017059326172
98.35835266113281,67.42015838623047,30.938194274902344
98.0922622680664,67.65399932861328,30.438261032104492
91.35186004638672,60.64781188964844,30.70404624938965
90.4158935546875,59.56704330444336,30.84885025024414
89.95986938476562,58.83584213256836,31.124025344848633
87.39789581298828,56.44120407104492,30.956689834594727
86.66151428222656,55.663455963134766,30.998056411743164
85.04605102539062,54.126251220703125,30.919801712036133
89.02880096435547,57.92681884765625,31.10198402404785
84.60252380371094,53.47209548950195,31.130428314208984
83.71488189697266,52.80466079711914,30.91022300720215
83.58595275878906,52.42914962768555,31.15679931640625
81.23228454589844,50.246925354003906,30.98535919189453
80.8392562866211,49.88304901123047,30.956209182739258
124.51441955566406,92.98363494873047,31.53078842163086
132.081787109375,101.76738739013672,30.314407348632812
88.18453979492188,56.146846771240234,32.037696838378906
85.841552734375,53.948482513427734,31.893070220947266
81.84016418457031,50.16838073730469,31.671785354614258
80.71318054199219,48.85362243652344,31.85955810546875
79.0721664428711,47.307735443115234,31.764429092407227
80.090576171875,48.58576583862305,31.504810333251953
82.26741790771484,50.83091735839844,31.436498641967773
260.3885192871094,227.30447387695312,33.08405303955078
222.77125549316406,191.88485717773438,30.886402130126953
119.08563995361328,87.15392303466797,31.931716918945312
103.04254150390625,70.17794036865234,32.864601135253906
90.51042175292969,58.02799987792969,32.482421875
84.29241943359375,51.701236724853516,32.5911865234375
80.76371765136719,48.135833740234375,32.62788772583008
78.51590728759766,45.850582122802734,32.66532516479492
76.12301635742188,43.40470886230469,32.71830368041992
76.9151611328125,44.07408905029297,32.8410758972168
1216.1771240234375,1177.2274169921875,38.94971466064453
603.1422119140625,568.076416015625,35.065792083740234
277.72772216796875,243.447998046875,34.27970886230469
140.90585327148438,105.46869659423828,35.437164306640625
118.79756164550781,82.84268188476562,35.95487976074219
101.29248046875,65.83027648925781,35.46220016479492
96.63809204101562,60.89204025268555,35.74604797363281
88.03022766113281,52.52883529663086,35.50139236450195
85.15211486816406,49.6609992980957,35.491111755371094
80.30819702148438,44.86027908325195,35.447914123535156
77.25706481933594,41.814022064208984,35.44304656982422
77.25027465820312,41.91969680786133,35.33057403564453
74.90696716308594,39.66109085083008,35.245880126953125
74.27447509765625,39.0360221862793,35.23845672607422
72.83738708496094,37.82149887084961,35.015892028808594
73.57466125488281,39.167572021484375,34.4070930480957
70.74935913085938,36.41759490966797,34.331764221191406
70.21185302734375,35.952354431152344,34.25949478149414
69.27452850341797,35.27384948730469,34.00067901611328
68.86263275146484,35.11244201660156,33.75019073486328
126.3606185913086,92.48982238769531,33.87079620361328
165.49777221679688,132.3692169189453,33.12855529785156
84.59115600585938,50.95045471191406,33.64069747924805
72.9996337890625,38.96974563598633,34.02989196777344
70.83258056640625,37.01139450073242,33.821189880371094
69.33042907714844,35.51527786254883,33.815147399902344
68.59147644042969,35.058170318603516,33.53330993652344
68.46620178222656,34.98426818847656,33.481929779052734
114.57005310058594,80.86994934082031,33.70010757446289
81.63229370117188,47.82689666748047,33.80539321899414
95.51998901367188,62.36687469482422,33.153114318847656
81.31613159179688,47.62565231323242,33.69048309326172
70.43685913085938,36.469722747802734,33.967140197753906
70.26858520507812,36.15775680541992,34.11083221435547
